condition,flux2_klein/clip_sim,flux2_klein/dino_sim,flux2_klein/emotion_agree,qwen_image/clip_sim,qwen_image/dino_sim,qwen_image/emotion_agree
N,0.5764±0.0971,0.3547±0.1761,0.2280±0.4195,0.5805±0.0967,0.3329±0.1817,0.2200±0.4142
F,0.6357±0.1009,0.3802±0.1889,0.3740±0.4839,0.6471±0.0996,0.4217±0.2100,0.3110±0.4629
E,0.6112±0.1021,0.4096±0.1768,0.2770±0.4475,0.6130±0.1117,0.4231±0.1964,0.2360±0.4246
H,0.5772±0.1304,0.3777±0.1979,0.6860±0.4641,0.6283±0.1031,0.3783±0.2085,0.6610±0.4734
NFE,0.6365±0.1007,0.4447±0.1835,0.3390±0.4734,0.6575±0.1036,0.4676±0.2064,0.3010±0.4587
NFH,0.6828±0.0949,0.4951±0.1781,0.5020±0.5000,0.6999±0.0978,0.5144±0.2072,0.4120±0.4922
NEH,0.6725±0.1011,0.4881±0.1876,0.4810±0.4996,0.6924±0.1020,0.5070±0.2124,0.3960±0.4891
FEH,0.6784±0.0964,0.4641±0.1856,0.5170±0.4997,0.7064±0.0939,0.4942±0.2073,0.4640±0.4987
NFEH,0.6780±0.0946,0.4938±0.1857,0.4620±0.4986,0.6989±0.0968,0.5126±0.2077,0.4000±0.4899
